month,side,ticker,category,fonte,note
2023-09,PIT_only,LNC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-09,PIT_only,NWL,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-10,PIT_only,ATVI,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-10,PIT_only,DXC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-10,PIT_only,OGN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-12,PIT_only,ALK,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-12,PIT_only,SEDG,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2023-12,PIT_only,SEE,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-03,PIT_only,WHR,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-03,PIT_only,ZION,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-04,PIT_only,VFC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-04,PIT_only,XRAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-05,PIT_only,PXD,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-06,PIT_only,CMA,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-06,PIT_only,ILMN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-06,PIT_only,RHI,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-09,PIT_only,AAL,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-09,PIT_only,BIO,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-09,PIT_only,ETSY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-09,PIT_only,LB,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-10,PIT_only,LB,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-11,PIT_only,TPL,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-12,PIT_only,AMTM,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-12,PIT_only,CTLT,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2024-12,PIT_only,QRVO,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-01,IVV_only,MRPW,IVV_CASH_POSITION,WAYBACK_IVV,
2025-03,PIT_only,BWA,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-03,PIT_only,CE,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-03,PIT_only,FMC,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-03,PIT_only,TFX,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-05,IVV_only,AMTM,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-05,PIT_only,DFS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-06,IVV_only,RAL,DELISTED_INTRA_PERIOD,WAYBACK_IVV,
2025-07,IVV_only,RAL,DELISTED_INTRA_PERIOD,WAYBACK_IVV,
2025-07,PIT_only,JNPR,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-07,PIT_only,TTD,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-07,PIT_only,XYZ,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-08,PIT_only,WBA,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-09,PIT_only,CZR,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-09,PIT_only,ENPH,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-09,PIT_only,MKTX,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-11,PIT_only,EMN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-12,PIT_only,K,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-12,PIT_only,LKQ,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-12,PIT_only,MHK,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2025-12,PIT_only,SOLS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-01,IVV_only,VSNTV UW,IVV_CASH_POSITION,WAYBACK_IVV,
2026-02,PIT_only,CIEN,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-03,PIT_only,COHR,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-03,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-03,PIT_only,LITE,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-03,PIT_only,SATS,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-03,PIT_only,VRT,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-04,IVV_only,,IVV_CASH_POSITION,WAYBACK_IVV,
2026-04,PIT_only,DAY,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2026-04,PIT_only,HOLX,ADDED_INTRA_PERIOD,WAYBACK_IVV,
2020-04,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2020-06,NA,,NO_COVERAGE,NO_COVERAGE,No filing match within ±100d window or impedimento SEC rate-limit
2020-07,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2020-10,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2021-01,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2021-05,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2022-01,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2022-04,NA,,NO_COVERAGE,NO_COVERAGE,No filing match within ±100d window or impedimento SEC rate-limit
2022-05,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2022-08,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2022-10,NA,,NO_COVERAGE,NO_COVERAGE,No filing match within ±100d window or impedimento SEC rate-limit
2022-11,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2023-01,NA,,NO_COVERAGE,NO_COVERAGE,No filing match within ±100d window or impedimento SEC rate-limit
2023-02,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2023-08,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2024-07,NA,,NO_COVERAGE,NO_COVERAGE,No filing match within ±100d window or impedimento SEC rate-limit
2024-08,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
2025-10,NA,,DEGRADED_PENDING_S2,SEC_13F_PROXY_Q_DEGRADED,SEC EDGAR IP-block 10min; 76-ibrido INCONCLUSIVE per impedimento operativo; deferred-pending-S2
