trial_id,fold_id,oos_sharpe
53,F3,-0.1102884205611167
54,F1,3.751855126267981
54,F2,3.07980355426643
54,F3,-0.1102884205611167
55,F1,3.751855126267981
55,F2,3.07980355426643
55,F3,-0.1102884205611167
56,F1,3.751855126267981
56,F2,3.07980355426643
56,F3,-0.1102884205611167
57,F1,3.751855126267981
57,F2,3.07980355426643
57,F3,-0.1102884205611167
58,F1,3.751855126267981
58,F2,3.07980355426643
58,F3,-0.1102884205611167
59,F1,3.751855126267981
59,F2,3.07980355426643
59,F3,-0.1102884205611167
60,F1,3.751855126267981
60,F2,3.07980355426643
60,F3,-0.1102884205611167
61,F1,2.630726481706253
61,F2,3.032969922188687
61,F3,1.2047525018394232
62,F1,2.630726481706253
62,F2,3.032969922188687
62,F3,1.2047525018394232
63,F1,2.630726481706253
63,F2,3.032969922188687
63,F3,1.2047525018394232
64,F1,2.630726481706253
64,F2,3.032969922188687
64,F3,1.2047525018394232
65,F1,2.630726481706253
65,F2,3.032969922188687
65,F3,1.2047525018394232
66,F1,2.630726481706253
66,F2,3.032969922188687
66,F3,1.2047525018394232
67,F1,2.630726481706253
67,F2,3.032969922188687
67,F3,1.2047525018394232
68,F1,2.630726481706253
68,F2,3.032969922188687
68,F3,1.2047525018394232
69,F1,2.630726481706253
69,F2,3.032969922188687
69,F3,1.2047525018394232
70,F1,2.630726481706253
70,F2,3.032969922188687
70,F3,1.2047525018394232
71,F1,2.630726481706253
71,F2,3.032969922188687
71,F3,1.2047525018394232
72,F1,2.630726481706253
72,F2,3.032969922188687
72,F3,1.2047525018394232
