trial_id,fold_id,phase,n_bars_eq,n_nonzero_eq,sr_recomp,sharpe_a_saved,sharpe_flag,delta
15,3,IS,260,257,1.0132383046259201,0.7623972894747446,ok,0.2508410151511755
15,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
16,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
16,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
16,2,IS,261,258,1.3796219977324429,0.9590206653586212,ok,0.4206013323738217
16,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
16,3,IS,260,257,1.0132383046259201,0.7623972894747446,ok,0.2508410151511755
16,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
17,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
17,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
17,2,IS,261,258,1.4224156203529361,0.9898783518805748,ok,0.4325372684723613
17,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
17,3,IS,260,257,1.0377230150350398,0.7762651720254432,ok,0.2614578430095966
17,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
18,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
18,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
18,2,IS,261,258,1.4224156203529361,0.9898783518805748,ok,0.4325372684723613
18,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
18,3,IS,260,257,1.0377230150350398,0.7762651720254432,ok,0.2614578430095966
18,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
19,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
19,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
19,2,IS,261,258,1.3796219977324429,0.9590206653586212,ok,0.4206013323738217
19,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
19,3,IS,260,257,1.0132383046259201,0.7623972894747446,ok,0.2508410151511755
19,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
20,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
20,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
20,2,IS,261,258,1.3796219977324429,0.9590206653586212,ok,0.4206013323738217
20,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
20,3,IS,260,257,1.0132383046259201,0.7623972894747446,ok,0.2508410151511755
20,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
21,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
21,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
21,2,IS,261,258,1.4224156203529361,0.9898783518805748,ok,0.4325372684723613
21,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
21,3,IS,260,257,1.0377230150350398,0.7762651720254432,ok,0.2614578430095966
21,3,OOS,65,64,1.2854284347585285,0.5769081123753451,ok,0.7085203223831834
22,1,IS,262,259,1.5840238711051424,1.1271729280029144,ok,0.45685094310222807
22,1,OOS,66,66,1.192444014543093,0.6501029485372184,ok,0.5423410660058746
22,2,IS,261,258,1.4224156203529361,0.9898783518805748,ok,0.4325372684723613
22,2,OOS,65,63,1.8450567612808766,1.0661694428849946,ok,0.778887318395882
22,3,IS,260,257,1.0377230150350398,0.7762651720254432,ok,0.2614578430095966
