trial_id,fold_id,phase,n_bars_saved,n_nonzero_saved,n_rows_dumped,n_nonzero_dumped,nonzero_extra_warmup,warmup_n_bars,pct_warmup_zero
34,1,OOS,327,78,66,66,12,261,0.9540229885057472
34,2,IS,522,271,261,259,12,261,0.9540229885057472
34,2,OOS,326,75,65,63,12,261,0.9540229885057472
34,3,IS,521,269,260,257,12,261,0.9540229885057472
34,3,OOS,325,75,65,64,11,260,0.9576923076923077
35,1,IS,523,272,262,260,12,261,0.9540229885057472
35,1,OOS,327,78,66,66,12,261,0.9540229885057472
35,2,IS,522,271,261,259,12,261,0.9540229885057472
35,2,OOS,326,75,65,63,12,261,0.9540229885057472
35,3,IS,521,269,260,257,12,261,0.9540229885057472
35,3,OOS,325,75,65,64,11,260,0.9576923076923077
36,1,IS,523,272,262,260,12,261,0.9540229885057472
36,1,OOS,327,78,66,66,12,261,0.9540229885057472
36,2,IS,522,271,261,259,12,261,0.9540229885057472
36,2,OOS,326,75,65,63,12,261,0.9540229885057472
36,3,IS,521,269,260,257,12,261,0.9540229885057472
36,3,OOS,325,75,65,64,11,260,0.9576923076923077
37,1,IS,523,267,262,259,8,261,0.9693486590038314
37,1,OOS,327,74,66,66,8,261,0.9693486590038314
37,2,IS,522,267,261,258,9,261,0.9655172413793104
37,2,OOS,326,69,65,63,6,261,0.9770114942528736
37,3,IS,521,262,260,257,5,261,0.9808429118773946
37,3,OOS,325,64,65,64,0,260,1.0
38,1,IS,523,267,262,259,8,261,0.9693486590038314
38,1,OOS,327,74,66,66,8,261,0.9693486590038314
38,2,IS,522,267,261,258,9,261,0.9655172413793104
38,2,OOS,326,69,65,63,6,261,0.9770114942528736
38,3,IS,521,262,260,257,5,261,0.9808429118773946
38,3,OOS,325,64,65,64,0,260,1.0
39,1,IS,523,267,262,259,8,261,0.9693486590038314
39,1,OOS,327,74,66,66,8,261,0.9693486590038314
39,2,IS,522,267,261,258,9,261,0.9655172413793104
39,2,OOS,326,69,65,63,6,261,0.9770114942528736
39,3,IS,521,262,260,257,5,261,0.9808429118773946
39,3,OOS,325,64,65,64,0,260,1.0
40,1,IS,523,267,262,259,8,261,0.9693486590038314
40,1,OOS,327,74,66,66,8,261,0.9693486590038314
40,2,IS,522,267,261,258,9,261,0.9655172413793104
40,2,OOS,326,69,65,63,6,261,0.9770114942528736
40,3,IS,521,262,260,257,5,261,0.9808429118773946
40,3,OOS,325,64,65,64,0,260,1.0
41,1,IS,523,267,262,259,8,261,0.9693486590038314
41,1,OOS,327,74,66,66,8,261,0.9693486590038314
41,2,IS,522,267,261,258,9,261,0.9655172413793104
41,2,OOS,326,69,65,63,6,261,0.9770114942528736
41,3,IS,521,262,260,257,5,261,0.9808429118773946
41,3,OOS,325,64,65,64,0,260,1.0
42,1,IS,523,267,262,259,8,261,0.9693486590038314
42,1,OOS,327,74,66,66,8,261,0.9693486590038314
42,2,IS,522,267,261,258,9,261,0.9655172413793104
42,2,OOS,326,69,65,63,6,261,0.9770114942528736
42,3,IS,521,262,260,257,5,261,0.9808429118773946
42,3,OOS,325,64,65,64,0,260,1.0
43,1,IS,523,267,262,259,8,261,0.9693486590038314
43,1,OOS,327,74,66,66,8,261,0.9693486590038314
43,2,IS,522,267,261,258,9,261,0.9655172413793104
43,2,OOS,326,69,65,63,6,261,0.9770114942528736
43,3,IS,521,262,260,257,5,261,0.9808429118773946
43,3,OOS,325,64,65,64,0,260,1.0
44,1,IS,523,267,262,259,8,261,0.9693486590038314
44,1,OOS,327,74,66,66,8,261,0.9693486590038314
44,2,IS,522,267,261,258,9,261,0.9655172413793104
44,2,OOS,326,69,65,63,6,261,0.9770114942528736
44,3,IS,521,262,260,257,5,261,0.9808429118773946
44,3,OOS,325,64,65,64,0,260,1.0
45,1,IS,523,267,262,259,8,261,0.9693486590038314
45,1,OOS,327,74,66,66,8,261,0.9693486590038314
45,2,IS,522,267,261,258,9,261,0.9655172413793104
45,2,OOS,326,69,65,63,6,261,0.9770114942528736
45,3,IS,521,262,260,257,5,261,0.9808429118773946
45,3,OOS,325,64,65,64,0,260,1.0
46,1,IS,523,267,262,259,8,261,0.9693486590038314
46,1,OOS,327,74,66,66,8,261,0.9693486590038314
46,2,IS,522,267,261,258,9,261,0.9655172413793104
46,2,OOS,326,69,65,63,6,261,0.9770114942528736
46,3,IS,521,262,260,257,5,261,0.9808429118773946
46,3,OOS,325,64,65,64,0,260,1.0
47,1,IS,523,267,262,259,8,261,0.9693486590038314
47,1,OOS,327,74,66,66,8,261,0.9693486590038314
47,2,IS,522,267,261,258,9,261,0.9655172413793104
47,2,OOS,326,69,65,63,6,261,0.9770114942528736
47,3,IS,521,262,260,257,5,261,0.9808429118773946
47,3,OOS,325,64,65,64,0,260,1.0
48,1,IS,523,267,262,259,8,261,0.9693486590038314
48,1,OOS,327,74,66,66,8,261,0.9693486590038314
48,2,IS,522,267,261,258,9,261,0.9655172413793104
48,2,OOS,326,69,65,63,6,261,0.9770114942528736
48,3,IS,521,262,260,257,5,261,0.9808429118773946
48,3,OOS,325,64,65,64,0,260,1.0
49,1,IS,523,272,262,260,12,261,0.9540229885057472
49,1,OOS,327,78,66,66,12,261,0.9540229885057472
49,2,IS,522,270,261,258,12,261,0.9540229885057472
49,2,OOS,326,75,65,63,12,261,0.9540229885057472
49,3,IS,521,270,260,258,12,261,0.9540229885057472
49,3,OOS,325,75,65,64,11,260,0.9576923076923077
50,1,IS,523,272,262,260,12,261,0.9540229885057472
50,1,OOS,327,78,66,66,12,261,0.9540229885057472
50,2,IS,522,270,261,258,12,261,0.9540229885057472
50,2,OOS,326,75,65,63,12,261,0.9540229885057472
50,3,IS,521,270,260,258,12,261,0.9540229885057472
50,3,OOS,325,75,65,64,11,260,0.9576923076923077
51,1,IS,523,272,262,260,12,261,0.9540229885057472
51,1,OOS,327,78,66,66,12,261,0.9540229885057472
51,2,IS,522,270,261,258,12,261,0.9540229885057472
51,2,OOS,326,75,65,63,12,261,0.9540229885057472
51,3,IS,521,269,260,257,12,261,0.9540229885057472
51,3,OOS,325,75,65,64,11,260,0.9576923076923077
52,1,IS,523,272,262,260,12,261,0.9540229885057472
52,1,OOS,327,78,66,66,12,261,0.9540229885057472
52,2,IS,522,270,261,258,12,261,0.9540229885057472
52,2,OOS,326,75,65,63,12,261,0.9540229885057472
52,3,IS,521,269,260,257,12,261,0.9540229885057472
52,3,OOS,325,75,65,64,11,260,0.9576923076923077
