trial_id,F1_IS_sharpe,F2_IS_sharpe,F3_IS_sharpe,mc,thr,tr,sc,mpb,IS_min,IS_max,IS_mean,IS_std,valid_all_folds,valid_robust_05,valid_robust_10
50,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.008,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
51,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.008,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
52,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.008,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
53,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.01,,,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
54,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.01,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
55,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.01,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
56,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.01,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
57,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.012,,,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
58,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.012,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
59,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.012,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
60,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.012,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
61,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.008,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
62,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.008,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
63,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.008,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
64,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.008,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
65,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.01,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
66,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.01,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
67,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.01,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
68,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.01,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
69,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.012,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
70,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.012,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
71,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.012,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
72,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.012,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
